Id,Weekly_Sales
1_1_2012-11-02,31312.056829945264
1_1_2012-11-09,21786.98665659502
1_1_2012-11-16,21140.493633261678
1_1_2012-11-23,21405.20669242835
1_1_2012-11-30,21394.520471153843
1_1_2012-12-07,22053.615430320508
1_1_2012-12-14,23772.230746987174
1_1_2012-12-21,24983.599746987173
1_1_2012-12-28,23832.258312820508
1_1_2013-01-04,20142.966219762602
1_1_2013-01-11,19033.54179353712
1_1_2013-01-18,19602.320995203787
1_1_2013-01-25,18985.50342353712
1_1_2013-02-01,19826.700485203783
1_1_2013-02-08,22087.907809370445
1_1_2013-02-15,21180.622119762604
1_1_2013-02-22,20075.967081870447
1_1_2013-03-01,19877.16892937045
1_1_2013-03-08,19569.388824370453
1_1_2013-03-15,19618.706757703785
1_1_2013-03-22,19377.522693418072
1_1_2013-03-29,19347.910697703788
1_1_2013-04-05,19508.802868537125
1_1_2013-04-12,18906.943765918073
1_1_2013-04-19,18307.893080277052
1_1_2013-04-26,18286.1129528961
1_1_2013-05-03,17453.6601716533
1_1_2013-05-10,17453.6601716533
1_1_2013-05-17,17392.19711331997
1_1_2013-05-24,16438.26570029799
1_1_2013-05-31,16427.32816029799
1_1_2013-06-07,16484.986651772353
1_1_2013-06-14,16447.34786331081
1_1_2013-06-21,16370.396216131325
1_1_2013-06-28,16200.13482208371
1_1_2013-07-05,16394.6345015251
1_1_2013-07-12,16147.292816763194
1_1_2013-07-19,16282.03489934561
1_1_2013-07-26,16170.647577678945
1_2_2012-11-02,44065.3425919338
1_2_2012-11-09,44496.72306300524
1_2_2012-11-16,45531.79114006872
1_2_2012-11-23,44659.33689395414
1_2_2012-11-30,44691.765440624295
1_2_2012-12-07,44957.11467669572
1_2_2012-12-14,45895.33005526714
1_2_2012-12-21,49591.634381140146
1_2_2012-12-28,46674.68356576841
1_2_2013-01-04,44021.13719809525
1_2_2013-01-11,43959.742997828595
1_2_2013-01-18,43831.47881976193
1_2_2013-01-25,43856.50595449526
1_2_2013-02-01,46906.560319177814
1_2_2013-02-08,45947.91783776366
1_2_2013-02-15,45447.15918277068
1_2_2013-02-22,45684.40670943733
1_2_2013-03-01,45861.531170418275
1_2_2013-03-08,45710.78709538971
1_2_2013-03-15,45603.04564205638
1_2_2013-03-22,45344.48397181829
1_2_2013-03-29,45263.30574538971
1_2_2013-04-05,45113.66954941569
1_2_2013-04-12,44999.2800184633
1_2_2013-04-19,44966.18917679664
1_2_2013-04-26,44999.323292749024
1_2_2013-05-03,44870.40255112383
1_2_2013-05-10,44865.56440112382
1_2_2013-05-17,44920.42410779049
1_2_2013-05-24,44841.11348112382
1_2_2013-05-31,44892.98484112382
1_2_2013-06-07,44924.306751123826
1_2_2013-06-14,44857.83590779048
1_2_2013-06-21,44714.998358742865
1_2_2013-06-28,44685.04323874287
1_2_2013-07-05,44734.038681996826
1_2_2013-07-12,44682.74375009208
1_2_2013-07-19,44637.145246996835
1_2_2013-07-26,44834.412705092065
1_3_2012-11-02,10507.339179375575
1_3_2012-11-09,10494.468958648304
1_3_2012-11-16,11455.631136794369
1_3_2012-11-23,10669.874222912376
1_3_2012-11-30,10638.731221318181
1_3_2012-12-07,10794.216123648304
1_3_2012-12-14,10865.486765127705
1_3_2012-12-21,11664.240326981635
1_3_2012-12-28,10808.362614391779
1_3_2013-01-04,12052.016763877584
1_3_2013-01-11,12088.181062210919
1_3_2013-01-18,11948.108428877587
1_3_2013-01-25,11610.09375221092
1_3_2013-02-01,12285.621594064853
1_3_2013-02-08,11348.31648285273
1_3_2013-02-15,11163.865079210918
1_3_2013-02-22,11673.533370877583
1_3_2013-03-01,11670.27494754425
1_3_2013-03-08,11638.716319210913
1_3_2013-03-15,11129.699523554027
1_3_2013-03-22,10962.30594915588
1_3_2013-03-29,11046.953155218613
1_3_2013-04-05,11033.924754345277
1_3_2013-04-12,10742.871608446152
1_3_2013-04-19,10552.808558446155
1_3_2013-04-26,10576.295839696157
1_3_2013-05-03,10113.455645529484
1_3_2013-05-10,10196.743162196153
1_3_2013-05-17,9752.735901005673
1_3_2013-05-24,9668.609761005673
1_3_2013-05-31,9584.135067672341
1_3_2013-06-07,9721.267441866918
1_3_2013-06-14,9863.750900755806
1_3_2013-06-21,9719.459142422475
1_3_2013-06-28,9856.25559575581
1_3_2013-07-05,10589.160238053575
1_3_2013-07-12,12149.797479125004
1_3_2013-07-19,14054.827530099023
1_3_2013-07-26,15072.121197432354
1_4_2012-11-02,37151.44631541574
1_4_2012-11-09,37054.68730823182
1_4_2012-11-16,37790.304846552266
1_4_2012-11-23,40023.251206778776
1_4_2012-11-30,38932.857663905204
1_4_2012-12-07,38918.40150390521
1_4_2012-12-14,38757.89772390521
1_4_2012-12-21,40410.683532238545
1_4_2012-12-28,39967.66010844545
1_4_2013-01-04,37491.056668830584
1_4_2013-01-11,36935.045400497256
1_4_2013-01-18,36962.62066716392
1_4_2013-01-25,36917.30410958816
1_4_2013-02-01,37412.666557817836
1_4_2013-02-08,37342.446631151164
1_4_2013-02-15,36927.90199872693
1_4_2013-02-22,36935.18776872693
1_4_2013-03-01,37036.67866075073
1_4_2013-03-08,36913.57601122692
1_4_2013-03-15,36884.67204622692
1_4_2013-03-22,36877.96470733803
1_4_2013-03-29,36860.729157338035
1_4_2013-04-05,36881.02110446447
1_4_2013-04-12,36885.62436188872
1_4_2013-04-19,36944.305226888704
1_4_2013-04-26,36944.70807522204
1_4_2013-05-03,36664.37491868067
1_4_2013-05-10,36600.408784236235
1_4_2013-05-17,36619.57777756956
1_4_2013-05-24,36725.48485364099
1_4_2013-05-31,36747.51921197433
1_4_2013-06-07,36552.329226974325
1_4_2013-06-14,36705.541694831474
1_4_2013-06-21,36886.99610649813
1_4_2013-06-28,36917.44090649814
1_4_2013-07-05,36635.291403164796
1_4_2013-07-12,36606.34613483146
1_4_2013-07-19,36761.14004907389
1_4_2013-07-26,36724.01544574055
1_5_2012-11-02,27065.077928670667
1_5_2012-11-09,25727.775403463704
1_5_2012-11-16,24933.23483977781
1_5_2012-11-23,39396.42427811114
1_5_2012-11-30,34539.95749801309
1_5_2012-12-07,34740.132704807984
1_5_2012-12-14,33824.18363157268
1_5_2012-12-21,37481.39694323935
1_5_2012-12-28,38204.605249906
1_5_2013-01-04,23172.464698481355
1_5_2013-01-11,22204.202142324808
1_5_2013-01-18,22536.13303684862
1_5_2013-01-25,22313.034327173293
1_5_2013-02-01,24057.619803189787
1_5_2013-02-08,26019.701734531776
1_5_2013-02-15,25482.55766443374
1_5_2013-02-22,24279.843649467668
1_5_2013-03-01,24466.589554467668
1_5_2013-03-08,23767.49601446767
1_5_2013-03-15,23346.244387800994
1_5_2013-03-22,22431.068872702963
1_5_2013-03-29,23753.025976134333
1_5_2013-04-05,22715.110211134335
1_5_2013-04-12,21000.060779369625
1_5_2013-04-19,19332.39716841725
1_5_2013-04-26,21260.782931134334
1_5_2013-05-03,18850.54510646307
1_5_2013-05-10,19631.060049082116
1_5_2013-05-17,18412.36053812974
1_5_2013-05-24,18293.1226127964
1_5_2013-05-31,18279.1129727964
1_5_2013-06-07,18803.452728748784
1_5_2013-06-14,18707.260108748782
1_5_2013-06-21,18617.347602082114
1_5_2013-06-28,18578.507082082113
1_5_2013-07-05,18391.42467874878
1_5_2013-07-12,18333.964565415445
1_5_2013-07-19,18327.568095415445
1_5_2013-07-26,18213.351867915444
1_6_2012-11-02,4117.748695440772
1_6_2012-11-09,4017.9142078079876
1_6_2012-11-16,3824.6875401068373
1_6_2012-11-23,8773.190465106838
1_6_2012-11-30,7681.46567344017
1_6_2012-12-07,7656.9157617735045
1_6_2012-12-14,7611.877814273505
1_6_2012-12-21,10322.189634273504
1_6_2012-12-28,8882.121479273508
1_6_2013-01-04,2954.07046689255
1_6_2013-01-11,2796.3670977258835
1_6_2013-01-18,2851.8441435592167
1_6_2013-01-25,2727.6935405036616
1_6_2013-02-01,3378.931298203355
1_6_2013-02-08,3458.7496482033544
1_6_2013-02-15,3333.291986536688
1_6_2013-02-22,3385.0188865366877
1_6_2013-03-01,3368.3229870922432
1_6_2013-03-08,3266.889567092244
1_6_2013-03-15,3124.994062092244
1_6_2013-03-22,3106.5213765366875
1_6_2013-03-29,3292.199813203354
1_6_2013-04-05,3086.3384498700216
1_6_2013-04-12,3028.8092248700214
1_6_2013-04-19,2909.057094870023
1_6_2013-04-26,2977.737583203356
1_6_2013-05-03,2968.4615973700215
1_6_2013-05-10,3025.8108773700224
1_6_2013-05-17,2937.345793203355
1_6_2013-05-24,2887.3517932033546
1_6_2013-05-31,2866.5370232033547
1_6_2013-06-07,2872.0097832033557
1_6_2013-06-14,2826.6475507033542
1_6_2013-06-21,2762.665198798593
1_6_2013-06-28,2719.110892131927
1_6_2013-07-05,2726.0173707033555
1_6_2013-07-12,2645.76216546526
1_6_2013-07-19,2707.660730703355
1_6_2013-07-26,2651.675241020816
1_7_2012-11-02,24001.35108020527
1_7_2012-11-09,22009.94767291954
1_7_2012-11-16,22283.77296236399
1_7_2012-11-23,38361.50565994045
1_7_2012-11-30,34515.5718364636
1_7_2012-12-07,38513.700777817445
1_7_2012-12-14,42636.28501056255
1_7_2012-12-21,54091.09861976191
1_7_2012-12-28,47081.99474417366
1_7_2013-01-04,16395.910572506637
1_7_2013-01-11,15475.066132261541
1_7_2013-01-18,15546.925201673304
1_7_2013-01-25,15408.292485594875
1_7_2013-02-01,17838.912739664134
1_7_2013-02-08,18702.333874664135
1_7_2013-02-15,18299.612622409233
1_7_2013-02-22,18325.064845938647
1_7_2013-03-01,18650.29832868374
1_7_2013-03-08,18626.187017605313
1_7_2013-03-15,18347.702569271976
1_7_2013-03-22,18407.462950938643
1_7_2013-03-29,18542.406082605314
1_7_2013-04-05,18851.39899260532
1_7_2013-04-12,18782.85914966414
1_7_2013-04-19,18719.484717997475
1_7_2013-04-26,18695.782351330807
1_7_2013-05-03,18120.682930262068
1_7_2013-05-10,18058.490863595398
1_7_2013-05-17,18073.474738595396
1_7_2013-05-24,19454.716927404923
1_7_2013-05-31,19691.371066928736
1_7_2013-06-07,19556.580170738263
1_7_2013-06-14,19558.940043595405
1_7_2013-06-21,19539.777392285883
1_7_2013-06-28,19489.76800895255
1_7_2013-07-05,17721.31665597636
1_7_2013-07-12,17103.385490143024
1_7_2013-07-19,16749.447809309688
1_7_2013-07-26,16847.18547180969
1_8_2012-11-02,38900.8839814275
1_8_2012-11-09,35890.76620783757
1_8_2012-11-16,36450.651157533706
1_8_2012-11-23,36038.99320268522
1_8_2012-11-30,36596.385342988244
1_8_2012-12-07,36506.318286685215
1_8_2012-12-14,36713.74599268522
1_8_2012-12-21,36925.156032533705
1_8_2012-12-28,35926.805747685205
1_8_2013-01-04,36362.70348545911
1_8_2013-01-11,36089.473475156075
1_8_2013-01-18,36105.37201515608
1_8_2013-01-25,36098.01902515608
1_8_2013-02-01,36670.87913182275
1_8_2013-02-08,36108.01944682274
1_8_2013-02-15,36256.07165212577
1_8_2013-02-22,36052.86771727729
1_8_2013-03-01,36007.868905610616
1_8_2013-03-08,35960.868377277286
1_8_2013-03-15,35837.07761304652
1_8_2013-03-22,35673.29325416772
1_8_2013-03-29,35823.04856304651
1_8_2013-04-05,35954.14294054652
1_8_2013-04-12,35703.2522308344
1_8_2013-04-19,35688.532695834394
1_8_2013-04-26,35886.86503704652
1_8_2013-05-03,35162.31221329653
1_8_2013-05-10,35169.02891996319
1_8_2013-05-17,35033.02442329652
1_8_2013-05-24,34966.55289378671
1_8_2013-05-31,34948.787273786715
1_8_2013-06-07,34910.14822378671
1_8_2013-06-14,34721.74984737646
1_8_2013-06-21,34710.012614043124
1_8_2013-06-28,34708.93702404312
1_8_2013-07-05,34795.81019570979
1_8_2013-07-12,34729.500912376454
1_8_2013-07-19,34773.16010737646
1_8_2013-07-26,34730.52535570979
1_9_2012-11-02,39890.294805677644
1_9_2012-11-09,33083.466129981185
1_9_2012-11-16,33730.04556545629
1_9_2012-11-23,33724.131137678516
1_9_2012-11-30,31026.66228212296
1_9_2012-12-07,31184.784092122954
1_9_2012-12-14,28707.186267122957
1_9_2012-12-21,32275.56956740073
1_9_2012-12-28,29116.050224622948
1_9_2013-01-04,19175.629548900753
1_9_2013-01-11,19995.432803431268
1_9_2013-01-18,19172.322663900755
1_9_2013-01-25,19801.07983843127
1_9_2013-02-01,22405.62434724079
1_9_2013-02-08,22712.243290574123
1_9_2013-02-15,22922.187983358806
1_9_2013-02-22,23751.242684549285
1_9_2013-03-01,24077.701670620707
1_9_2013-03-08,24536.453595326588
1_9_2013-03-15,24573.886353183734
1_9_2013-03-22,24794.924959850396
1_9_2013-03-29,24550.94890723135
1_9_2013-04-05,24615.440112637516
1_9_2013-04-12,24304.831319066092
1_9_2013-04-19,23791.337938510533
1_9_2013-04-26,23689.874581843866
1_9_2013-05-03,23268.31246184386
1_9_2013-05-10,23342.49156184386
1_9_2013-05-17,23413.298795891482
1_9_2013-05-24,23290.998175891484
1_9_2013-05-31,23371.39462732006
1_9_2013-06-07,23286.608950415295
1_9_2013-06-14,23059.462250415298
1_9_2013-06-21,23037.856868748622
1_9_2013-06-28,22416.81493088478
1_9_2013-07-05,22433.487600943117
1_9_2013-07-12,22209.481952960654
1_9_2013-07-19,22595.964971293994
1_9_2013-07-26,22427.717174238853
1_10_2012-11-02,28136.072665380543
1_10_2012-11-09,28176.944880047202
1_10_2012-11-16,28669.21964504721
1_10_2012-11-23,28488.93988676289
1_10_2012-11-30,28343.597915880535
1_10_2012-12-07,28454.89596921387
1_10_2012-12-14,28477.36056754721
1_10_2012-12-21,28683.52683509622
1_10_2012-12-28,28056.711615096217
1_10_2013-01-04,26856.091837435062
1_10_2013-01-11,26247.8822357684
1_10_2013-01-18,26236.18320624459
1_10_2013-01-25,26389.45967624459
1_10_2013-02-01,30236.757535292207
1_10_2013-02-08,31005.28337929079
1_10_2013-02-15,30602.529407624137
1_10_2013-02-22,30434.277819290804
1_10_2013-03-01,30421.202553814608
1_10_2013-03-08,30273.263797624135
1_10_2013-03-15,30262.463182624128
1_10_2013-03-22,30101.059045957467
1_10_2013-03-29,30145.496529290802
1_10_2013-04-05,29846.857794846346
1_10_2013-04-12,29634.520273179685
1_10_2013-04-19,29457.8566435643
1_10_2013-04-26,29447.293913564306
1_10_2013-05-03,28995.220488371797
1_10_2013-05-10,28989.177146705133
1_10_2013-05-17,28881.48352170513
1_10_2013-05-24,29214.78672122894
1_10_2013-05-31,29369.36770456227
1_10_2013-06-07,29176.412054562265
1_10_2013-06-14,29025.346854562267
1_10_2013-06-21,29127.56559377796
1_10_2013-06-28,29127.56559377796
1_10_2013-07-05,28890.110820902326
1_10_2013-07-12,28798.549211784677
1_10_2013-07-19,28612.085489235655
1_10_2013-07-26,28676.89140011801
1_11_2012-11-02,22621.25434263668
1_11_2012-11-09,22076.98501243828
1_11_2012-11-16,22152.103878174607
1_11_2012-11-23,24075.12537555555
1_11_2012-11-30,23939.991499444448
1_11_2012-12-07,23988.998046666668
1_11_2012-12-14,24322.88060888889
1_11_2012-12-21,24380.952695555556
1_11_2012-12-28,24921.918645555554
1_11_2013-01-04,21392.995962949964
1_11_2013-01-11,21467.095129061072
1_11_2013-01-18,21080.634727394405
1_11_2013-01-25,21079.235480727733
1_11_2013-02-01,21475.000298174597
1_11_2013-02-08,21908.37649208628
1_11_2013-02-15,21615.14882972517
1_11_2013-02-22,21581.199697502943
1_11_2013-03-01,21535.216040419615
1_11_2013-03-08,21564.668999169615
1_11_2013-03-15,21647.01461916962
1_11_2013-03-22,21682.825073614065
1_11_2013-03-29,21583.37081416962
1_11_2013-04-05,21959.68126416962
1_11_2013-04-12,21872.9972769474
1_11_2013-04-19,21674.73081236406
1_11_2013-04-26,21681.1370756974
1_11_2013-05-03,21697.793922645455
1_11_2013-05-10,22214.08776681213
1_11_2013-05-17,22515.838050145445
1_11_2013-05-24,22800.840278895444
1_11_2013-05-31,23218.706401357565
1_11_2013-06-07,23203.525355145448
1_11_2013-06-14,23105.1006496909
1_11_2013-06-21,23658.508496774233
1_11_2013-06-28,24542.659669690896
1_11_2013-07-05,22153.726023478772
1_11_2013-07-12,23104.201236812103
1_11_2013-07-19,21957.006312228772
1_11_2013-07-26,22407.760223478777
1_12_2012-11-02,9473.137179805026
1_12_2012-11-09,9119.931526307193
1_12_2012-11-16,8889.622540952381
1_12_2012-11-23,8579.20725706349
1_12_2012-11-30,8539.55606190476
1_12_2012-12-07,8450.268143730158
1_12_2012-12-14,8100.334238571428
1_12_2012-12-21,8370.950703730161
1_12_2012-12-28,8038.738632619044
1_12_2013-01-04,8191.473107619042
1_12_2013-01-11,8394.171720119046
1_12_2013-01-18,8349.691544285713
1_12_2013-01-25,8718.943210119047
1_12_2013-02-01,9095.3971875
1_12_2013-02-08,9112.726117696078
1_12_2013-02-15,8878.341401148455
1_12_2013-02-22,9197.966734097176
1_12_2013-03-01,9268.131830921184
1_12_2013-03-08,9293.858586369903
1_12_2013-03-15,9642.334638750857
1_12_2013-03-22,9710.691838750856
1_12_2013-03-29,9241.8510463699
1_12_2013-04-05,9683.712033750857
1_12_2013-04-12,9699.126279584189
1_12_2013-04-19,9549.983234968806
1_12_2013-04-26,9541.810246635472
1_12_2013-05-03,9589.611208302138
1_12_2013-05-10,9598.809066635471
1_12_2013-05-17,9566.818231635472
1_12_2013-05-24,9610.324736635472
1_12_2013-05-31,9627.788766635473
1_12_2013-06-07,9554.194583302136
1_12_2013-06-14,9534.192106029412
1_12_2013-06-21,9545.596361029411
1_12_2013-06-28,9562.107692696078
1_12_2013-07-05,9518.666279362746
1_12_2013-07-12,9511.683534362746
1_12_2013-07-19,9568.069274362746
1_12_2013-07-26,9683.838232311464
1_13_2012-11-02,38953.25713966373
1_13_2012-11-09,39255.79303271928
1_13_2012-11-16,39140.8375428205
1_13_2012-11-23,39350.26812166666
1_13_2012-11-30,38694.997481666665
1_13_2012-12-07,37855.46094611112
1_13_2012-12-14,37446.01097444444
1_13_2012-12-21,38126.63711893162
1_13_2012-12-28,37043.579678333335
1_13_2013-01-04,39409.169084999994
1_13_2013-01-11,39224.929933333326
1_13_2013-01-18,39202.52088333333
1_13_2013-01-25,39207.37134
1_13_2013-02-01,40191.088946153846
1_13_2013-02-08,40286.697609999996
1_13_2013-02-15,39610.14745499999
1_13_2013-02-22,39424.314633333335
1_13_2013-03-01,39614.85549666667
1_13_2013-03-08,39256.29363833333
1_13_2013-03-15,39374.10773833333
1_13_2013-03-22,39275.66257166667
1_13_2013-03-29,39180.48414666666
1_13_2013-04-05,39289.10731
1_13_2013-04-12,39312.49564166666
1_13_2013-04-19,39427.783496666656
1_13_2013-04-26,39521.18080999998
1_13_2013-05-03,39026.51189576922
1_13_2013-05-10,38993.16589076922
1_13_2013-05-17,38967.96160076922
1_13_2013-05-24,38915.15948910256
1_13_2013-05-31,39120.93357910255
1_13_2013-06-07,39214.00984076922
1_13_2013-06-14,39286.74523410256
1_13_2013-06-21,39244.902145082946
1_13_2013-06-28,39240.45837174961
1_13_2013-07-05,39209.152505769234
1_13_2013-07-12,39254.86925841629
1_13_2013-07-19,39022.384385769234
1_13_2013-07-26,39076.369715082954
1_14_2012-11-02,13832.253756197571
1_14_2012-11-09,13944.110549530906
1_14_2012-11-16,15980.549415204136
1_14_2012-11-23,22396.800295337922
1_14_2012-11-30,20550.1825614108
1_14_2012-12-07,20637.116526073223
1_14_2012-12-14,21086.98967981505
1_14_2012-12-21,24404.217095648386
1_14_2012-12-28,22722.2868845046
1_14_2013-01-04,14336.641771513148
