Id,Weekly_Sales
1_1_2012-11-02,29334.28488190932
1_1_2012-11-09,24843.176435266767
1_1_2012-11-16,22507.15719630209
1_1_2012-11-23,21372.216596333288
1_1_2012-11-30,24672.077937295708
1_1_2012-12-07,28457.16821493188
1_1_2012-12-14,34449.84929557752
1_1_2012-12-21,34635.347047518575
1_1_2012-12-28,33795.68531977913
1_1_2013-01-04,26493.008271568142
1_1_2013-01-11,20045.07379420274
1_1_2013-01-18,21476.626957502478
1_1_2013-01-25,20857.28459971107
1_1_2013-02-01,25604.235448987776
1_1_2013-02-08,31630.844243941312
1_1_2013-02-15,33770.876739874766
1_1_2013-02-22,31379.968153552443
1_1_2013-03-01,28284.84654728271
1_1_2013-03-08,22906.422361215195
1_1_2013-03-15,21503.865725244672
1_1_2013-03-22,24195.878314219477
1_1_2013-03-29,31204.178052414165
1_1_2013-04-05,30854.407999352952
1_1_2013-04-12,29264.47793950061
1_1_2013-04-19,26472.028245409623
1_1_2013-04-26,23772.14769154614
1_1_2013-05-03,22048.12490269269
1_1_2013-05-10,21047.226211873538
1_1_2013-05-17,20698.76492656852
1_1_2013-05-24,16558.368843396773
1_1_2013-05-31,16552.97232014631
1_1_2013-06-07,17071.150646838327
1_1_2013-06-14,17168.871093412417
1_1_2013-06-21,16763.704784588503
1_1_2013-06-28,16227.219544256472
1_1_2013-07-05,16576.811312821104
1_1_2013-07-12,16742.191134888733
1_1_2013-07-19,17004.212485312964
1_1_2013-07-26,16545.79182203993
1_2_2012-11-02,45262.36217732107
1_2_2012-11-09,45502.97646484753
1_2_2012-11-16,45592.33402924474
1_2_2012-11-23,44660.67172928268
1_2_2012-11-30,45399.81804159716
1_2_2012-12-07,46457.11901106157
1_2_2012-12-14,49101.996269223295
1_2_2012-12-21,51267.94942091765
1_2_2012-12-28,49649.99945054586
1_2_2013-01-04,45302.39940924726
1_2_2013-01-11,43032.71484730586
1_2_2013-01-18,44138.789125596435
1_2_2013-01-25,45206.37141841304
1_2_2013-02-01,46418.722061423956
1_2_2013-02-08,46682.986260569734
1_2_2013-02-15,46231.77890438716
1_2_2013-02-22,46202.6700643198
1_2_2013-03-01,47665.52429225939
1_2_2013-03-08,46380.92855347607
1_2_2013-03-15,45646.639510284454
1_2_2013-03-22,44630.62329577313
1_2_2013-03-29,45272.60772304928
1_2_2013-04-05,45443.005704625204
